epoch,train_loss,train_eval_loss,train_eval_acc,test_loss,test_acc,acc_gap,loss_gap,lr,epoch_time_sec,best_test_acc_so_far
16,0.918807385644565,0.12103208512659573,0.9775079455627088,0.677838414752235,0.7747718383311604,0.20273610723154845,0.5568063296256394,3.7060403777036845e-05,99.28161883354187,0.7747718383311604
17,0.8946915389969945,0.10034779824127327,0.9850867899926656,0.6729182698763907,0.7705345501955672,0.21455223979709848,0.5725704716351174,3.335436339933316e-05,99.1365716457367,0.7747718383311604
18,0.8630498931743205,0.06337524826934289,0.9925841414717627,0.6460558691372474,0.7786831812255541,0.21390096024620853,0.5826806208679045,3.0018927059399844e-05,99.23158860206604,0.7786831812255541
19,0.8301882056208948,0.04559020592690407,0.9955993806535735,0.6606074595668664,0.7861799217731421,0.20941945888043134,0.6150172536399623,2.701703435345986e-05,99.11451864242554,0.7861799217731421
20,0.8098548608832061,0.03728937649915073,0.9965772960638904,0.6576720504866292,0.788787483702738,0.20778981236115246,0.6203826739874785,2.4315330918113875e-05,99.20971202850342,0.788787483702738
21,0.798605392066141,0.02828819858738522,0.9973107326216283,0.6555101512543237,0.7871577574967406,0.21015297512488773,0.6272219526669385,2.1883797826302487e-05,99.15011143684387,0.788787483702738
22,0.7804067018441856,0.025244884528243954,0.9981256621302257,0.6865437021479011,0.7865058670143416,0.21161979511588414,0.6612988176196571,1.969541804367224e-05,99.20344519615173,0.788787483702738
23,0.7714989326583842,0.017032810024981398,0.999348056393122,0.6586617440140495,0.7842242503259452,0.21512380606717674,0.6416289339890682,1.7725876239305016e-05,99.20458960533142,0.788787483702738
24,0.7517390490199128,0.01339063017743077,0.999674028196561,0.6580682586257657,0.7900912646675359,0.20958276352902516,0.6446776284483349,1.5953288615374514e-05,99.16297745704651,0.7900912646675359
25,0.7497957930900156,0.0132506914123951,0.9998370140982805,0.6538787228055298,0.7878096479791395,0.21202736611914097,0.6406280313931347,1.4357959753837063e-05,99.16374778747559,0.7900912646675359
26,0.7374776129921278,0.009822088948567398,0.9995925352457012,0.6718175765903046,0.7865058670143416,0.2130866682313597,0.6619954876417372,1.2922163778453357e-05,99.17877054214478,0.7900912646675359
27,0.724289283156395,0.009024002141359233,0.9997555211474207,0.6740085118605444,0.7897653194263363,0.2099902017210844,0.6649845097191852,1.162994740060802e-05,99.03269267082214,0.7900912646675359
28,0.7199815101145456,0.008041679001659455,0.9999185070491402,0.6570560086984187,0.7894393741851369,0.21047913286400333,0.6490143296967593,1.046695266054722e-05,99.08977603912354,0.7900912646675359
29,0.7142370364939173,0.006122266679085442,1.0,0.6728602062600354,0.7861799217731421,0.2138200782268579,0.66673793958095,9.420257394492498e-06,99.1982913017273,0.7900912646675359
30,0.702076620887965,0.006405053388637801,1.0,0.6730599300935864,0.7904172099087353,0.20958279009126468,0.6666548767049486,8.478231655043248e-06,99.11600518226624,0.7904172099087353
